source,filename,document_date,num_sentences,ai_statement_count,matched_ai_terms,unique_urls_count,unique_dois_count,unique_arxiv_count,has_ai
Democratic Assembly,20170601-assembly-bill-ab-491-which-establishes-3m-education-grants-wwii-japanese.txt,,19,0,,0,0,0,False
Democratic Assembly,20170601-assemblymember-al-muratsuchis-assembly-bill-ab-1646-which-calls-creation.txt,,20,0,,0,0,0,False
Democratic Assembly,20170601-assemblymember-al-muratsuchis-bill-streamline-construction-beach-city.txt,,17,0,,0,0,0,False
Democratic Assembly,20170601-assemblymember-irwin-and-city-thousand-oaks-host-inaugural-safety-fair.txt,,18,0,,0,0,0,False
Democratic Assembly,20170601-flood-hazard-zone-disclosure-authored-assemblymember-ash-kalra-passes.txt,,11,0,,0,0,0,False
Democratic Assembly,20170602-assembly-al-muratuchis-statement-president-donald-trumps-decision-pull-out.txt,,4,0,,0,0,0,False
Democratic Assembly,20170604-los-tres-cochinitos-honored-california-small-business-day-2017.txt,"June 5, 2017",16,0,,0,0,0,False
Democratic Assembly,20170604-quirk-silva-honors-dr-stephen-tsai.txt,,23,0,,0,0,0,False
Democratic Assembly,20170605-rubio-selects-arrow-automotive-ad48-small-business-year.txt,,22,0,,0,0,0,False
Democratic Assembly,20170606-assemblymember-aguiar-curry-bill-promote-renewable-energy-jobs-passes-face.txt,,21,0,,0,0,0,False
Democratic Assembly,20170607-aaaaaaaassemblywoman-quirk-silva-continues-champion-veteran-cemetery-and.txt,,16,0,,0,0,0,False
Democratic Assembly,20170608-113-million-approved-compton-college-heels-new-accreditation.txt,,16,0,,0,0,0,False
